"Консультация ортопеда","800 руб."
"Снятие коронки (за единицу)","1800руб."
"Цементировка коронки (за единицу)","1200руб."
"Культевая вкладка","от 7000 руб"
"Частичный пластиночный протез (до 4-х зубов)","от 24 500 руб."
"Полный пластиночный протез","от 39 000 руб."
"Изготовление бюгельного протеза с кламмерами, простого (2 кламмера)","от 74 800 руб."
"Частичный нейлоновый протез (от 4 до 13 зубов)","от 58 300 руб."
"Металлокерамика (Co-Cr)","от 13 300 руб."
"Металлокерамика (золотосодержащий сплав)","от 54 000 руб."
"Временная коронка на импланте","от 5200 руб."
"Металлокерамическая коронка на винтовой фиксации с опорой на имплант или в мостовидном протезе (Co-Cr)","от 39 000 руб."
"Починка съемного протеза, не требующая снятия слепков (акрил)","5100руб."
"Починка нейлонового съемного протеза, перенос кламмера","15 000руб."
"Коронка или винир E-max","от 29 700 руб."
"Изготовление хирургического шаблона для установки имплантатов","от 9600 руб."
"Каппа","от 11 900 руб."
"",""
"Установка четырех имплантатов по системе ""Nobel Parallel СС"" (на одну челюсть)","191 300руб."
"Установка временной (на 6 месяцев) условно - съемной ортопедической конструкции (на одну челюсть)","181 600руб."
"Установка постоянной ортопедической конструкции (на одну челюсть)","от 72 000 руб."
"Консультация пародонтолога","800 руб."
"Закрытый кюретаж в области одного зуба","2000руб."
"Закрытый кюретаж в пределах одного сегмента (4-6 зубов)","7350руб."
"Открытый кюретаж пародонтального кармана","от 3700 руб."
"",""
"одного зуба","1800руб."
"сегмент (4-6 зубов)","8100руб."
"Вестибулопластика местными тканями","8800 руб."
"",""
"за один зуб","2100 руб."
"за 4-6 зубов","6400 руб."
"Коррекция альвеолярного гребня","от 2000 руб."
"Лечебная (защитная) повязка (на одну челюсть)","1200 руб."
"Шинирование в области 1 зуба","3700 руб."
"Пластика уздечки языка","7700руб."
"Консультация ортодонта","800 руб."
"Диагностика и составление плана лечения (расчет моделей, расчет телерентгенограммы и ортопантомограммы, составление плана лечения)","5300 руб."
"Снятие слепка и изготовление диагностической модели (для одной челюсти)","1800 руб."
"Металлические наружные брекет-системы","от 36 200 руб."
"Керамические наружные брекет-системы","от 60 000 руб."
"",""
"Самолигирующие наружные брекет-системы","от 48 400 руб."
"Частичные наружные брекет-системы","от 27 500 руб."
"Съемная ортодонтическая аппаратура: LM-активатор","16 300 руб."
"Изготовление двухчелюстного аппарата Адрезена - Гойпля","18 050руб."
"Контрольный осмотр и активация брекет-системы","от 1450 руб."
"Снятие брекет-системы (включает снятие брекетов, колец, материала)","от 7000 руб."
"Припасовка и фиксация ретейнера","5600руб."
"Снятие ретейнера","1400руб."
"Повторная фиксация ретейнера (на 1 зуб)","1400руб."
"",""
"Изготовление капп","13 000 руб."
"Лечение с помощью системы элайнеров FlexiLigner (полная стоимость рассчитывается у ортодонта)","от 140 000 руб."
"",""
"3 Д моделирование для лечения с системой элайнеров FlexiLigner Pro","55 000 руб."
"Изготовление системы элайнеров FlexiLigner Pro от 33 шагов без ограничения (2 дуги, 4 коррекции)","201 00 руб."
"Установка системы элайнеров FlexiLigner Pro","62 000руб."
"",""
"3 Д моделирование для лечения с системой элайнеров FlexiLigner Extra -ONE","35 000 руб."
"Изготовление системы элайнеров FlexiLigner Extra -ONE от 17 до 32 шагов (1 дуга, 3 коррекции)","134 000 руб."
"Установка системы элайнеров FlexiLigner Extra -ONE","39 000руб."
"Контрольный осмотр с любым видом системы элайнеров","1100 руб."
"",""
"Консультация хирурга/имплантолога","800 руб."
"",""
"Простое","2800 руб."
"Сложное","3300 руб."
"",""
"Консультация имплантолога","800 руб."
"",""
"простое","2600 руб."
"сложное (шов, неоконес)","4600-6400 руб."
"ретенированного зуба","8400 руб."
"",""
"Имплантат ""Rеplace Sеlect"" (США)","45 000 руб."
"Имплантат ""Rеplace Conical Connection"" (США)","51 900 руб."
"Имплантат ""Ankylos СХ""","52 900 руб."
"Имплантат ""Nobel Active""","56 000 руб."
"Имплантат ""Nobel Parallel""","51 900 руб."
"Установка имплантата ""HI-TEC""","35 900 руб."
"Операция установки мини-имплантата VectorTAS","19 300руб."
"Установка мембраны (BioGide, LAMINA ,СREOS) с использованием пинов","от 14 900 руб."
"",""
"открытый","29 700 руб."
"закрытый","14 100руб."
"Удаление имплантата","5 600руб."
"Операция резекции верхушки корня и цистоэктомия (гранулемэктомия, цистотомия)","от 10 100 руб."
"Разрез","700 руб."
"Консультация терапевта","800 руб."
"Ортопантомограмма (панорамный снимок зубов)","1300 руб."
"Телерентгенограмма","1300 руб."
"3D-томография","от 1900 руб."
"Лечение кариеса","от 4200 руб."
"Лечение пульпита или периодонтита в два посещения","от 15 500 руб."
"Распломбировка корневого канала","от 2200 руб."
"Внутрикоронковое отбеливание","2400 руб."
"Лечение поверхностного кариеса материалом ""ICON"" (метод лечения без обработки кариозной полости)","7800 руб."
"Эстетическая реставрация зуба","от 15 600 руб."
"Снятие зубных отложений с помощью ультразвукового наконечника с одного зуба","140 руб."
"Снятие зубных отложений с помощью ультразвукового наконечника с зубов одной челюсти","1400 руб."
"Чистка зубов при помощи аппарата Prophyflex (снятие налета курильщика, пищевой пигментации и полировка зубов) за один зуб","140 руб."
"Чистка зубов при помощи аппарата Prophyflex (снятие налета курильщика, пищевой пигментации и полировка зубов) за зубы одной челюсти","1400 руб."
"Эффективная защита от кариеса путем герметизации фиссур материалом ""Fissurite""","от 1800 руб."
"Герметизация фиссур без препарирования фиссуротомическими борами","от 2000 руб."
"Процедура ремотерапии (1 посещение)","от 2200 руб."
"Отбеливание зубов с помощью системы ""BEYOND""","18 000 руб."
"Седация","3000 руб."
"Лечение кариеса под микроскопом","от 5900 руб."
"Эстетическая реставрация зуба (3M Filtek Ultimate, Estelite )","от 18 000 руб."
"Лечение пульпита в одно посещение","от 15 000 руб."
"Лечение пульпита в два посещения","от 18 900 руб."
"Применение микроскопа при выполнении ортопедических работ (за 1час)","3 600 руб."
"Последующее время работы врача при выполнении ортопедических работ под микроскопом (каждые 30 мин.)","1200 руб."
"Распломбировка канала под микроскопом","2600руб."
"Распломбировка канала под культевую вкладку","1800 руб."
"Лечение плохо проходимых каналов, ампутация (""Cresopate"")","2100руб."
"Внутрикоронковое отбеливание","2500руб."
"Лечение поверхностного кариеса материалом ""ICON""","9500руб."
"",""
"3D-томография 1 челюсти (1 стороны)","3000руб."
"3D-томография от 1 до 3 зубов","1900руб."
"3D-томография, включающая обе челюсти","3300руб."
"Описание снимка 3D-томографии, включающей обе челюсти (в течение 2-х дней)","750руб."
"Радиовизиография (1 снимок)","600руб."
"Консультация врача-стоматолога","800 руб."
"Лечение кариеса методом серебрения (курс за 1 зуб)","от 1500 руб."
"Лечение пульпита молочного зуба в одно посещение","от 6100 руб."
"Лечение пульпита в 2 посещения","от 6500 руб."
"Гигиеническая чистка зубов у детей (с 3х до 14 лет)","от 2100 до 2300 руб."
"Лечение кариеса молочных зубов (пломбировочными материалами Twinky Star, Vitremer)","от 3850 руб."
"Лечение кариеса ручным методом (для детей раннего возраста)","от 2900 руб."
"Уроки гигиены для детей","800 руб."
"",""
"простое","2800руб."
"сложное","3300руб."
